id	neg|lfc	neg|fdr	pos|fdr
Pdcd1	1.9e-5	NA	1
Paxip1	0.003693	NA	1
Atxn7l3	0.004793	NA	1
Usp7	0.010189	NA	1
Fut8	0.01172	NA	1
Ankmy2	0.011908	NA	1
Lrig1	0.019576	NA	1
Zfp738	0.041242	NA	1
Dmtf1	0.047147	NA	1
Taf4	0.05377	NA	1
Btg2	0.054085	NA	1
Pdcl	0.054808	NA	1
Trim23	0.056279	NA	1
Hsh2d	0.057271	NA	1
Eif3k	0.057404	NA	1
Slc35c1	0.065893	NA	1
Zfp459	0.067205	NA	1
Maf1	0.067235	NA	1
Lztr1	0.06822	NA	1
Herc4	0.068297	NA	1
Fbxw14	0.069382	NA	1
Gmds	0.069521	NA	1
Zfp93	0.07161	NA	1
Cd200r2	0.072493	NA	1
Uchl5	0.07387	NA	1
Erich4	0.085657	NA	1
Zscan2	0.087588	NA	1
Stag2	0.10006	NA	1
4932411N23Rik	0.101092	NA	1
Kdelr1	0.102569	NA	1
Fam49b	0.10879	NA	1
Zfx	0.10999	NA	1
Ccz1	0.113725	NA	1
Mettl2	0.114613	NA	1
Kmt2c	0.130074	NA	1
Mrgpra2a	0.133472	NA	1
Epc2	0.139319	NA	1
Git2	0.143182	NA	1
Tasp1	0.145	NA	1
Tm9sf3	0.14525	NA	1
Gga3	0.146939	NA	1
Tsta3	0.14955	NA	1
Mtmr10	0.155286	NA	1
Smpdl3a	0.155708	NA	1
Mgst2	0.156242	NA	1
Nek1	0.157604	NA	1
Zscan26	0.158316	NA	1
Ifnk	0.158544	NA	1
Sppl3	0.160915	NA	1
Wdyhv1	0.173	NA	1
Psmb11	0.197029	NA	1
Tlnrd1	0.253252	NA	1
Ggact	0.267565	NA	1
Ramp2	0.291761	NA	1
Ptp4a1	0.312559	NA	1
Usp22	0.408391	NA	1
Akt1s1	0.432366	NA	1
Ccno	0.457655	NA	1
Tram2	0.457999	NA	1
Gm12695	0.476304	NA	1
Tmprss11g	0.483263	NA	1
Mmrn1	0.507335	NA	1
Gpr174	0.553016	NA	1
Naa40	0.591789	NA	1
Igsf9b	0.593161	NA	1
Actn2	0.600988	NA	1
Zfp719	0.617743	NA	1
Tmub2	0.631884	NA	1
Hsf2	0.678329	NA	1
Bbs12	0.717967	NA	1
Serp2	0.793919	NA	1
Ifit1bl2	0.803564	NA	1
Crim1	0.806849	NA	1
Fbxo28	0.837473	NA	1
Draxin	0.846697	NA	1
Lce3b	0.851473	NA	1
Ccr7	0.85167	NA	1
Dnajc24	0.862514	NA	1
Terb1	0.878507	NA	1
Rnf43	0.888822	NA	1
Ing2	0.897806	NA	1
Fndc10	0.905386	NA	1
Prdm9	0.906818	NA	1
Gpr180	0.912785	NA	1
Ric8b	0.91418	NA	1
Ccdc160	0.914452	NA	1
Isoc2a	0.91929399999999994	NA	1
A130010J15Rik	0.948743	NA	1
Skint6	0.95208	NA	1
Fbxo47	0.96083	NA	1
Ppef1	0.966318	NA	1
Trp53inp2	0.96672	NA	1
Slc2a9	0.969803	NA	1
Apobr	0.969906	NA	1
Sptan1	0.970103	NA	1
Etv6	0.976856	NA	1
Plcb4	0.980036	NA	1
Luciferase	0.984476	NA	1
EGFP	0.991199	NA	1
Tulp3	0.9912	NA	1
